HT-1000,US,2017-01-02,"Three stars","Three start. I have some issues like some keys don't work on first instance..and is somewhat slow also"
HT-1001,CA,2017-01-03,"Too hot","Heating and not wake up. Check twice when buy it on Offer."
HT-1002,DE,2017-01-04,"2nd hand","2nd hand laptops!!! The laptop I received already had an user on it with password etc. These are not new laptops!"
HT-1003,US,2017-01-05,"Best price value","No technical marvel but seems to be the best laptop in a price segment of Rs 55-60K."
HT-1011,CA,2017-01-06,"Second hand","Very disappointed as this seems to be a second hand product! Moreover the battery power is very low (stand by power is only 4 hour). Maybe it is because it was used already otherwise this is not a reasonably practicable device!"
HT-1020,DE,2017-01-07,"Very bad","very bad. My product is not working what do I do ? I have paid everything! This is very very bad ."
HT-1011,US,2017-01-08,"Waste of money","waste of money. Battery is draining out very quickly after 2-3 hours of usage. Also it's not lasting for more than 7 days once it's in a sleep mode. I cannot recommend it at all and I am very disappointed."
HT-1007,CA,2017-01-09,"Good product","Good product. But we are not getting on line support for any operation issue in ipad."
HT-1040,DE,2017-01-10,"One star","One star. scanner not working... tried 2 contact amazon.. not picking"
HT-1050,US,2017-01-11,"5/5 stars","Amazing product and great delivery by Amazon. Kudos to both"
HT-1000,CA,2017-01-12,"3 stars","Three star. very low memory. Not good buy."
HT-1001,DE,2017-01-13,"battery bad","Bad product. Battery issue with the laptop. Doesn't give backup as expected . Really upset with the product."
HT-1002,US,2017-01-14,"very happy","not a good product. charger not working after week use"
HT-1002,CA,2017-01-15,"Too expensive","better laptop is available in this price segment."
HT-1002,DE,2017-01-16,"Bad experiences"," have had extremely bad experiences with Apple products. they suffer from a chronic problem which is well known : overheating"
HT-1020,US,2017-01-17,"Bad display","Worst display.. fonts are blurry.. best part is help less amazon care. saying that there is no return policy.."
HT-1030,CA,2017-01-18,"Broke after 2 months","It has been just 2 months and the device has already stopped functioning. It doesnt turn on. I need a replacement. I am very angry and disappointed."
HT-1007,DE,2017-01-19,"Great as usual","Ipad..nothing to say. I have been using it since last 4 months."
HT-1040,US,2017-01-20,"Fake product","Fake Product. received A device Without Serial number. unable To Claim Warranty."
HT-1040,CA,2017-01-21,"Bad Quality","Pathetic product. Below standard quality."
HT-1011,US,2017-04-28,"Bad battery","Works as expected but battery is a nightmare. This is the worst I ever had. Do not forget your power cable otherwise you cannot use it."
HT-1011,DE,2017-05-07,"retuned after 3 months","Had to return the device already after 3 months as the battery could not be recharged. I am very disappointed!!!!"
HT-1011,DE,2017-05-18,"Bad battery","Do not buy the battery lifetime is unexceptable bad!!!"
HT-1011,CA,2017-08-08,"Battery Lifetime too short","Should consider exchanging the battery. The lifetime is very bad and far too short."
HT-1011,DE,2017-08-23,"Battery is a nogo","Battery is already empty after 1 hour!!! This laptop is absolutally useless."
HT-1030,CA,2017-12-01,"Immediate replacement","I need to update my previous review. The display was replaced immedeatley by Amazon and with the new display I have no problems any more. Very good service and display!"
HT-1000,DE,2018-04-03,"Too expensive","Price mismatch. never buying such things on amazon ever again"
HT-1001,US,2018-04-04,"Defect","very poor. disappointed. Defective product."
HT-1002,CA,2018-04-05,"Super","Be super careful about the NO COST EMI offer. The step is not shown. I paid the amount and now Kotak refuses to convert my purchase into EMI"
HT-1000,DE,2018-04-06,"Broke after 6 monts","Not good product -: After 6 months it became turn off. It is not starting now."
HT-1001,US,2018-04-07,"Not worthy","Not worthy of 2017 model in 55k bcs before 4 months in sale cut price of 10 k now no discount..only making fool on name"
HT-1007,CA,2018-04-08,"Great","Amazon late delivery as usual and had so pathetic experience with Amazon courier team this time."
HT-1030,DE,2018-04-09,"Overpriced","Overpriced people don't know slot about laptop.Apple products will cost u a lot cuz of its compatibility."
HT-1007,US,2018-04-10,"Worst table ever","Worst tablet ever not for student use I repeat not for students."
HT-1040,CA,2018-04-11,"Too expensive","Price is very high not worthy"
HT-1040,DE,2018-04-12,"Bad product","bad product. Compatible issue for Microsoft office files. not better than other platform."
HT-1000,US,2018-04-13,"Bad Service","Bad Service.After 1 month it doesn't start without any problem and then i have to change main power IC.That become very costly."
HT-1001,CA,2018-04-14,"Broken","Bad. Received a broken/opened package. most likely a returned package."
HT-1002,DE,2018-04-15,"Pathetic","pathetic. Wheel is not working well. Wheel is also very hard to press (to open the link in new window)... Now I use the wheel just to scroll. Usage of wheel as an alternate of Open in New Window is much difficult."
HT-1002,US,2018-04-16,"Very small but good","small in size. so grip in your palm will not be very comfortable.otherwise good product."
HT-1002,CA,2018-04-17,"Bad ergonomic","Not able to hold it properly in hand and edges are also too sharpI recommend to buy other laptop as there are also cheaper laptops on the market"
HT-1020,DE,2018-04-18,"Very bad","very bad. The mouse is small for my palm. It is difficult to click. especially double clicks. The click buttons are not very responsive."
HT-1030,US,2018-04-19,"Defect","Defective product. not able to print a single page. Carriage struck in the sides of the printer loudly. Now I have to contact service. Very painful process"
HT-1007,CA,2018-04-20,"Cartridge too expensive","Very expensive. Cartridge is very expensive....not recommended to buy this product ."
HT-1040,DE,2018-04-21,"Ok","Average product. too bad for pc users."
HT-1040,US,2018-04-22,"Useless","Utterly useless printer... TOTALLY unexpected from HP.. Pages getting stuck repeatedly. cartridge issues. abnormal noise.. Not worth even at 90% discount."
HT-1020,CA,2018-04-23,"Excellent","5starsExcellent Product and Service by Amazon and Seller."
HT-1030,DE,2018-04-24,"Good","starsGood product but not able to login to Facetime."
HT-1007,US,2018-04-25,"5 stars","Very good product. Perfectly packed & delivered on time. Working good till now."
HT-1050,CA,2018-04-26,"Best printer","One of the Best printer from this company. Thanks to Amazon for fastest delivery and very Competetive Price."
HT-1050,DE,2018-04-27,"Best in clas","There is no comparison for apple product. Performance is beyond expectation. Customer service is awesome!! loved it."
HT-1010,CA,2018-04-29,"Awesome","This is a awesome product. My husband and I love it."
HT-1011,DE,2018-04-30,"Great sound","Love the sound that comes out. The laptop has great speakers and battery problems have been resolved."
HT-1003,US,2018-05-01,"Great","great device to listen to music.best blue tooth on the market today.I highly recommend it"
HT-1010,CA,2018-05-02,"5 stars","good price Review: Excellent product at this price.The performance n battery life is superb for the whole day.Best buy. these days you don't get a compact good performing laptop at this price."
HT-1003,DE,2018-05-03,"Outstanding","As everyone knows any Apple product is outstanding and superior to the rest. Its superb. fast and amazing.I recommend buying the AirCase MacBook sleeve ( black and green ) and the MOCA smooth touch battle hard shell skin cover ( grey colour ). Both these products are on amazon.in. both VERY GOOD and must buy products to help improve your MacBook Air experience. ( I do not advertise or sell these products btw)"
HT-1030,US,2018-05-04,"As expected","The product is what it is and there is nothing to review about its capabilities. I wanted a MacBook and after looking at multiple outlets for prices amazon had the best pricing for this product. (With offers combined).I ordered the product on prime and there was a deficit on stock and by that delayed my delivery by a couple of days. Other than that the product was as expected. Delivery was smooth and as expected. The retailer is Appario retail and to my knowledge is an amazon subsidiary."
HT-1007,CA,2018-05-05,"","Nice Product! Have been using it since for last 3 months now. No issues faced."
HT-1050,DE,2018-05-06,"Amazing","Its really amazing. Exactly the same experience which I heard and described.Pinters is really best and affordable to all in broad range of costly competitive products...!!"
HT-1011,US,2018-05-07,"Amazing","TSimply amazing! The best ever battery backup! High performance. And not to forget amazon packing and safety for your product is incredible. Love the way they care for your product by the time it reach safe in your hands."
HT-1000,CA,2018-05-08,"4 stars","Got it safe.....when i ordered i was tensed as ....i thgt it might have cracks....but amazing product....thanku apple...thanku .....amazon....thnku for the best courier service"
HT-1003,DE,2018-05-09,"5 stars","Don't want to mention anything for apple MAC book :) Super product"
HT-1003,US,2018-05-10,"5 stars","Always apple is the best product.build quality and software works together.u cannot use this one for media purposes.its one time investment for office use."
HT-1003,CA,2018-05-11,"4 stars","its a amazing product for a normal user....amazon had a good packing also"
HT-1010,DE,2018-05-12,"5 points","excellent product with good exchange price... I like product and service"
HT-1007,US,2018-05-13,"","What a fine piece of design and engineering! If you can get this. DO GET IT."
HT-1030,CA,2018-05-14,"Title","warranty details are fine upgraded to higher firmware performing well.. not using it heavily but yes Best Buy for the price. Will update again after usage"
HT-1007,DE,2018-05-15,"Works fine","All works fine. No issues or defects till now. Its nearly more than a month from purchase. Nice packaging. Perfectly planned delivery."
HT-1050,US,2018-05-16,"Love it","Loving it so far...1 star less because the capslock key is a little defective...doesn't press at once."
HT-1010,CA,2018-05-17,"3 stars","was looking for a light laptop for multimedia use. perfect travel companion. as I was already using iOS ecosystem. was nt tough to shift from windows to apple."
HT-1000,DE,2018-05-18,"Good rate but quality sucks","Best rate got from market value for money however no good quality. Had to return after 1 month already"
HT-1003,US,2018-05-19,"5 points","Not much to be said. apple is always great in quality and the look and feel!!"
HT-1011,CA,2018-05-20,"10/10 points","10/10......the best laptop in world. apple products are amazing. you will never regret it buying. They also have solved their battery problems"
HT-1011,DE,2018-05-21,"Very fast","Fast Processor & user friendly Amazing Battery life !"
HT-1010,US,2018-05-22,"Very good","Very good and light weight laptop. This is a perfect choice for bloggers. Excellent battery life."
HT-1020,CA,2018-05-23,"Very bad","Very bad product. The Ipad delivered is not at all working this is not expected from such a reputed brand .looking for an immediate replacement or return."
HT-1030,DE,2018-05-24,"Great product","Great product. timeless design but flawless. Has been best at making things which do what they are suppose to without much fuss and pomp"
HT-1007,US,2018-05-25,"5 stars","Best decision I have ever made. Good purchase."
HT-1050,CA,2018-05-26,"Good decision","Am happy that I switch from hp to samsung"
HT-1050,DE,2018-05-27,"Love it","First time using product from this company. Amazing experience. Loved it"
HT-1011,CA,2019-01-03,"Great product","Great product Apple has done their homeworks. Can be used for 5 hours without charging"
HT-1003,US,2019-02-01,"Best buy ever","Its a fantastic machine. very smooth touchpad. fine keyboard and awesome performance. Now I will never switch to windows and thanks Amazon for giving too much discount."
HT-1010,CA,2019-02-02,"As usual","Great product as usual from apple. I ordered it for my wife. and she is loving it :-)"
HT-1010,DE,2019-02-03,"Very good","Very good product. Perfectly packed & delivered on time. Working good till now."
HT-1003,US,2019-02-04,"Best laptop ever","One of the Best MacBook from Apple. Thanks to Amazon for fastest delivery and very Competetive Price."
HT-1010,CA,2019-02-05,"1 star","The Mac was good but the mouse pad are not wrking properly"
HT-1020,DE,2019-02-06,"Bad!!!","Very bad product. The Serial number on the product and the serial number on the tablet are different."
HT-1030,US,2019-02-07,"Worth every penny","Finally a possession. Worth every penny. A must have for all those who can afford. Got it in 50k in Diwali sale"
HT-1007,CA,2019-02-08,"Really Good","Everything works good and very smooth but the display resolution is moderate and design must be refreshed."
HT-1040,DE,2019-02-09,"two stars","Returned this very poor printer and now looking for different printer."
HT-1050,US,2019-02-10,"Excellent","Excellent product and good delivery turnaround time by Amazon"
HT-1003,DE,2019-04-01,"Fake Review","Very bad product (I am a fake review)"
HT-1011,CA,2019-04-07,"10 stars","Apple forever! Great laptop and great battery lifetime"
